TMLOOKUP;Fullname;First Name;Second Name;Nationality;National games;National Goals;Club;Date Joined;Contract Ends;Day of Birth;Month of Birth;Year of Birth;Age;Goalkeeper;Sweeper;Defender;Anchor;Midfield;Support;Attack;Right;Left;Centre;Ability;Potential;Reputation;Adaptability;Aggression;Big Occasion;Character;Consistency;Creativity;Determination;Dirtyness;Dribbling;Flair;Heading;Influence;Inj Prone;Marking;Off The Ball;Pace;Passing;Positioning;Set Pieces;Shooting;Stamina;Strenght;Tackling;Technique;Goalkeeper POS;Sweeper POS;Defender POS;Anchor POS;Midfield POS;Support POS;Attack POS;Right POS;Left POS;Centre POS
Albion Rovers19;Neil McKilligan Albion Rovers;Neil;McKilligan;Scotland;0;0;Albion Rovers;;;2;1;1974;;0;0;0;1;1;0;0;0;0;1;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Albion Rovers2;David Byrne Albion Rovers;David;Byrne;Scotland;0;0;Albion Rovers;;;5;3;1961;;0;0;2;1;2;0;0;0;2;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2
Albion Rovers20;Colin Mitchell Albion Rovers;Colin;Mitchell;Scotland;0;0;Albion Rovers;;;25;5;1965;;0;2;2;1;1;0;0;0;0;2;0;0;25;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;14;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2
Albion Rovers21;Tony Mitchell Albion Rovers;Tony;Mitchell;Scotland;0;0;Albion Rovers;;;10;1;1979;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Albion Rovers22;Vinnie Moore Albion Rovers;Vinnie;Moore;Scotland;0;0;Albion Rovers;;;21;8;1964;;0;0;0;0;1;1;1;0;0;1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Albion Rovers23;Mark Pickering Albion Rovers;Mark;Pickering;Scotland;0;0;Albion Rovers;;;11;6;1965;;0;0;2;0;0;0;0;2;2;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0
Albion Rovers24;Stuart Robertson Albion Rovers;Stuart;Robertson;Scotland;0;0;Albion Rovers;05-01-1900;;1;1;#VALUE!;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Albion Rovers25;Alex Ross Albion Rovers;Alex;Ross;Scotland;0;0;Albion Rovers;07-01-1900;;1;8;1963;;0;0;0;0;0;0;2;0;0;2;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
Albion Rovers26;Stephen Ross Albion Rovers;Stephen;Ross;Scotland;0;0;Albion Rovers;;;27;1;1965;;2;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Albion Rovers27;Tony Shepherd Albion Rovers;Tony;Shepherd;Scotland;0;0;Albion Rovers;;;16;11;1966;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Albion Rovers28;Thomas Walker Albion Rovers;Thomas;Walker;Scotland;0;0;Albion Rovers;;;23;12;1964;;0;0;0;0;0;0;2;0;0;2;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
Albion Rovers29;William Watters Albion Rovers;William;Watters;Scotland;0;0;Albion Rovers;;;5;6;1964;;0;0;0;0;0;1;2;0;0;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
Albion Rovers3;David Campbell Albion Rovers;David;Campbell;Scotland;0;0;Albion Rovers;05-01-1900;;1;1;#VALUE!;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Albion Rovers30;David Webster Albion Rovers;David;Webster;Scotland;0;0;Albion Rovers;05-01-1900;;1;1;#VALUE!;;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2
Albion Rovers4;Martin Clark Albion Rovers;Martin;Clark;Scotland;0;0;Albion Rovers;;;13;10;1968;;0;0;2;1;2;0;0;0;0;2;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2
Albion Rovers5;Stephen Cody Albion Rovers;Stephen;Cody;Scotland;0;0;Albion Rovers;;;1;6;1969;;0;0;0;0;1;2;2;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0
Albion Rovers6;Ronnie Coyle Albion Rovers;Ronnie;Coyle;Scotland;0;0;Albion Rovers;;;4;8;1964;;0;1;2;1;1;0;0;0;0;2;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
Albion Rovers7;John Dickson Albion Rovers;John;Dickson;Scotland;0;0;Albion Rovers;;;23;12;1969;;0;0;0;0;1;1;0;1;1;0;0;0;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Albion Rovers8;Euan Donaldson Albion Rovers;Euan;Donaldson;Scotland;0;0;Albion Rovers;02-01-1900;;20;8;1975;;0;0;2;0;0;0;0;0;2;0;58;98;20;13;10;0;8;5;11;9;10;7;1;9;15;7;10;10;17;8;14;9;8;14;12;14;8;0;0;2;0;0;0;0;0;2;0
Albion Rovers9;Cameron Duncan Albion Rovers;Cameron;Duncan;Scotland;0;0;Albion Rovers;;;4;8;1965;;2;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Alessandria1;Salvatore Avallone Alessandria;Salvatore;Avallone;Italy;0;0;Alessandria;;;30;8;1969;;0;0;0;0;2;0;0;1;0;2;86;0;85;12;0;0;0;12;8;13;8;0;10;12;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;2;0;0;0;0;2
Alessandria10;Vincenzo Lanotte Alessandria;Vincenzo;Lanotte;Italy;0;0;Alessandria;07-01-1900;;6;1;1970;;0;0;0;0;1;2;2;0;2;1;83;0;77;0;0;12;0;6;18;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;2;2;0;2;0
Alessandria11;Peter Livon Alessandria;Peter;Livon;Italy;0;0;Alessandria;;;30;7;1975;;0;2;2;0;0;0;0;0;0;2;122;165;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;10;20;0;0;7;0;0;0;18;0;2;2;0;0;0;0;0;0;2
Alessandria12;Maurizio Lizzani Alessandria;Maurizio;Lizzani;Italy;0;0;Alessandria;;;29;8;1968;;0;0;2;0;0;0;0;0;2;0;128;140;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0
Alessandria13;Egidio Notaristefano Alessandria;Egidio;Notaristefano;Italy;0;0;Alessandria;;;4;2;1966;;0;0;0;2;0;0;0;0;0;2;135;154;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
Alessandria14;Andrea Orocini Alessandria;Andrea;Orocini;Italy;0;0;Alessandria;07-01-1900;;1;6;1972;;0;0;2;2;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;2;0;0;0;2;0;2
Alessandria15;Salvatore Tedesco Alessandria;Salvatore;Tedesco;Italy;0;0;Alessandria;;;14;9;1970;;0;0;0;0;2;0;0;0;2;0;123;144;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0
Alessandria2;Claudio Balesini Alessandria;Claudio;Balesini;Italy;0;0;Alessandria;;;19;12;1969;;0;0;0;0;0;0;2;2;0;2;100;0;92;13;8;17;0;11;14;11;2;15;19;15;0;0;0;0;0;0;0;0;15;0;0;0;12;0;0;0;0;0;0;2;2;0;2
Alessandria3;Andrea Bellini Alessandria;Andrea;Bellini;Italy;0;0;Alessandria;;;24;5;1966;;0;2;2;0;0;0;0;2;0;2;127;145;102;5;7;19;3;0;8;11;12;4;13;17;0;0;0;0;16;13;17;11;6;0;0;0;0;0;2;2;0;0;0;0;2;0;2
Alessandria4;Emiliano Betti Alessandria;Emiliano;Betti;Italy;0;0;Alessandria;07-01-1900;;15;2;1972;;2;0;0;0;0;0;0;0;0;0;129;155;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Alessandria5;Gianni Califano Alessandria;Gianni;Califano;Italy;0;0;Alessandria;;;18;11;1971;;0;0;0;0;0;0;2;0;0;2;102;0;100;15;0;0;0;17;13;20;0;0;0;17;0;0;0;0;0;0;0;0;17;0;0;0;15;0;0;0;0;0;0;2;0;0;2
Alessandria6;Enrico Fantini Alessandria;Enrico;Fantini;Italy;0;0;Alessandria;07-01-1900;;27;2;1976;;0;0;0;0;0;2;2;0;2;2;125;191;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2
Alessandria7;Giuseppe Fornaciari Alessandria;Giuseppe;Fornaciari;Italy;0;0;Alessandria;07-01-1900;;27;7;1967;;0;0;2;0;0;0;0;0;0;2;132;145;107;11;16;0;0;0;10;16;14;4;5;13;12;11;12;9;20;8;11;11;6;18;18;13;6;0;0;2;0;0;0;0;0;0;2
Alessandria8;Ferdinando Gasparini Alessandria;Ferdinando;Gasparini;Italy;0;0;Alessandria;07-01-1900;;17;9;1969;;0;0;0;0;0;0;2;0;0;2;130;146;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
Alessandria9;Daniele Giraldi Alessandria;Daniele;Giraldi;Italy;0;0;Alessandria;07-01-1900;;6;11;1974;;0;0;0;0;0;2;0;2;0;2;123;149;98;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;18;16;11;0;0;0;0;0;14;0;0;0;0;0;2;0;2;0;2
èlgÜrd1;Arne-Eigil Aksnes èlgÜrd;Arne-Eigil;Aksnes;Norway;0;0;èlgÜrd;;;23;6;1973;;0;0;2;0;2;0;0;0;0;2;43;70;0;9;15;5;14;7;16;9;18;7;10;15;15;17;13;9;17;10;8;5;10;14;5;11;10;0;0;2;0;2;0;0;0;0;2
èlgÜrd10;Birk Lima èlgÜrd;Birk;Lima;Norway;0;0;èlgÜrd;;;30;5;1968;;0;0;2;0;0;0;0;2;0;0;98;117;0;9;2;3;8;10;12;6;7;7;7;6;19;10;10;9;0;9;6;9;7;11;10;11;10;0;0;2;0;0;0;0;2;0;0
èlgÜrd11;Skjalg Lima èlgÜrd;Skjalg;Lima;Norway;0;0;èlgÜrd;;;24;12;1971;;0;0;0;0;0;0;2;0;0;2;92;116;0;11;8;12;16;18;14;13;2;11;11;18;17;3;7;11;0;11;10;15;11;8;12;7;10;0;0;0;0;0;0;2;0;0;2
èlgÜrd12;Ronny Ludvigsen èlgÜrd;Ronny;Ludvigsen;Norway;0;0;èlgÜrd;;;1;9;1976;;2;0;0;0;0;0;0;0;0;0;55;77;0;8;5;7;14;4;10;10;20;11;6;8;12;12;7;9;11;5;10;7;5;7;10;7;5;2;0;0;0;0;0;0;0;0;0
èlgÜrd13;Frank Medalen èlgÜrd;Frank;Medalen;Norway;0;0;èlgÜrd;;;4;1;1973;;0;0;2;0;0;0;0;0;2;0;57;113;0;5;1;4;15;16;7;10;1;6;4;9;5;1;12;8;0;17;8;5;9;11;5;12;5;0;0;2;0;0;0;0;0;2;0
èlgÜrd14;Tord Oftedal èlgÜrd;Tord;Oftedal;Norway;0;0;èlgÜrd;;;1;1;1975;;0;0;0;0;2;2;0;2;0;0;82;81;0;5;5;8;7;9;13;6;4;12;8;9;9;5;8;10;0;10;9;9;7;13;8;7;5;0;0;0;0;2;2;0;2;0;0
èlgÜrd15;Gunnar Olufsen èlgÜrd;Gunnar;Olufsen;Norway;0;0;èlgÜrd;;;14;4;1970;;0;0;0;0;2;0;0;2;0;2;81;114;0;8;5;7;12;17;15;6;2;10;15;6;7;9;6;7;0;14;5;7;9;8;5;10;6;0;0;0;0;2;0;0;2;0;2
èlgÜrd16;Oddbj?rn Sivertsen èlgÜrd;Oddbj?rn;Sivertsen;Norway;0;0;èlgÜrd;;;1;1;1976;;0;0;0;0;2;0;0;0;2;2;76;96;0;9;5;3;17;15;11;6;10;9;11;5;11;9;6;9;0;7;6;5;10;5;10;6;9;0;0;0;0;2;0;0;0;2;2
èlgÜrd17;Knut Stava èlgÜrd;Knut;Stava;Norway;0;0;èlgÜrd;;;17;1;1970;;0;0;0;0;0;0;2;2;0;2;103;114;0;14;6;12;6;10;15;15;9;13;7;11;13;8;8;13;0;10;11;15;14;4;12;6;13;0;0;0;0;0;0;2;2;0;2
èlgÜrd18;Lyder Tjetland èlgÜrd;Lyder;Tjetland;Norway;0;0;èlgÜrd;;;26;9;1968;;0;0;0;0;2;0;0;0;2;0;64;95;0;5;10;7;17;14;13;5;8;9;12;8;7;8;5;10;16;10;10;7;9;11;9;10;7;0;0;0;0;2;0;0;0;2;0
èlgÜrd19;Odd-Arne TjÜland èlgÜrd;Odd-Arne;TjÜland;Norway;0;0;èlgÜrd;;;10;9;1972;;0;0;0;0;2;2;0;0;0;2;56;103;0;5;8;4;13;13;11;7;7;13;19;12;12;4;3;5;0;16;6;6;6;12;9;2;9;0;0;0;0;2;2;0;0;0;2
èlgÜrd2;Jan-Erik Aunevik èlgÜrd;Jan-Erik;Aunevik;Norway;0;0;èlgÜrd;;;23;2;1965;;0;0;2;0;0;0;0;0;0;2;77;107;0;6;5;4;14;9;14;8;1;8;3;17;13;6;10;8;0;4;9;8;7;11;6;14;8;0;0;2;0;0;0;0;0;0;2
èlgÜrd20;Halvor Tveit èlgÜrd;Halvor;Tveit;Norway;0;0;èlgÜrd;;;5;3;1975;;0;0;2;0;2;0;0;0;0;2;64;87;0;10;7;4;13;12;14;7;7;3;12;9;11;8;8;10;4;9;7;9;9;8;7;7;6;0;0;2;0;2;0;0;0;0;2
èlgÜrd21;Per èrrestad èlgÜrd;Per;èrrestad;Norway;0;0;èlgÜrd;;;1;1;1972;;0;0;0;0;2;0;0;0;2;2;83;90;0;9;2;3;14;12;12;8;10;9;7;17;9;6;5;10;5;13;7;6;6;14;8;9;5;0;0;0;0;2;0;0;0;2;2
èlgÜrd3;Kurt Eriksen èlgÜrd;Kurt;Eriksen;Norway;0;0;èlgÜrd;;;27;8;1974;;0;0;0;0;2;0;0;0;0;2;103;135;0;15;4;14;10;15;12;14;3;15;13;9;15;8;12;15;0;9;12;14;12;9;14;7;14;0;0;0;0;2;0;0;0;0;2
èlgÜrd4;Einar Fjeldheim èlgÜrd;Einar;Fjeldheim;Norway;0;0;èlgÜrd;;;26;8;1971;;2;0;0;0;0;0;0;0;0;0;46;82;0;8;3;6;11;14;5;10;7;11;8;5;12;6;5;9;11;3;6;5;5;4;8;3;7;2;0;0;0;0;0;0;0;0;0
èlgÜrd5;Kenneth Gjesdal èlgÜrd;Kenneth;Gjesdal;Norway;0;0;èlgÜrd;;;8;2;1973;;0;0;0;0;0;0;2;0;0;2;93;97;0;7;3;7;17;8;13;7;2;10;20;13;20;1;6;5;0;8;6;7;8;13;10;6;10;0;0;0;0;0;0;2;0;0;2
èlgÜrd6;Hans HÜland èlgÜrd;Hans;HÜland;Norway;0;0;èlgÜrd;;;1;1;1976;;0;0;0;0;0;0;2;2;2;2;92;113;0;14;1;11;9;10;14;13;2;10;7;9;4;9;7;12;0;10;10;10;11;5;15;16;14;0;0;0;0;0;0;2;2;2;2
èlgÜrd7;Stig Idland èlgÜrd;Stig;Idland;Norway;0;0;èlgÜrd;;;18;4;1976;;0;0;2;0;0;0;0;2;0;0;38;80;0;5;13;3;8;6;16;9;19;3;5;10;3;16;10;6;11;9;9;5;9;11;7;13;8;0;0;2;0;0;0;0;2;0;0
èlgÜrd8;Eirik J?ntvedt èlgÜrd;Eirik;J?ntvedt;Norway;0;0;èlgÜrd;;;27;7;1972;;0;0;0;0;2;0;0;2;0;2;31;87;0;10;14;4;11;7;13;9;19;11;4;10;10;10;5;5;12;10;10;7;5;4;9;8;10;0;0;0;0;2;0;0;2;0;2
èlgÜrd9;Atle Lie èlgÜrd;Atle;Lie;Norway;0;0;èlgÜrd;;;1;1;1972;;0;0;2;0;0;0;0;0;0;2;74;87;0;9;10;3;12;8;13;10;9;8;9;12;7;4;8;8;10;8;6;10;9;12;5;15;5;0;0;2;0;0;0;0;0;0;2
Alloa1;Giacomo Lonzi Alloa;Giacomo;Lonzi;Italy;0;0;Alloa;05-01-1900;;1;1;#VALUE!;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alloa10;Stuart Mackay Alloa;Stuart;Mackay;Scotland;0;0;Alloa;;;3;3;1975;;0;0;0;0;2;1;0;1;0;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
Alloa11;Miller Mathieson Alloa;Miller;Mathieson;Scotland;0;0;Alloa;;;19;12;1964;;0;0;0;0;0;0;1;0;0;1;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alloa12;Paul McAnenay Alloa;Paul;McAnenay;Scotland;0;0;Alloa;;;11;11;1973;;0;0;2;0;0;0;0;0;0;2;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
Alloa13;Neil McAvoy Alloa;Neil;McAvoy;Scotland;0;0;Alloa;;;29;7;1972;;0;0;0;0;1;1;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alloa14;John McCormack Alloa;John;McCormack;Scotland;0;0;Alloa;;;22;7;1965;;0;0;2;1;1;0;0;0;1;1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Alloa15;Keith McCulloch Alloa;Keith;McCulloch;Scotland;0;0;Alloa;;;27;5;1967;;0;0;2;0;0;0;0;0;0;2;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
Alloa16;Michael Monaghan Alloa;Michael;Monaghan;Scotland;0;0;Alloa;;;28;6;1963;;2;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Alloa17;Mark Nelson Alloa;Mark;Nelson;Scotland;0;0;Alloa;;;9;8;1969;;0;0;1;1;1;0;0;0;1;1;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alloa18;Neil Nicholson Alloa;Neil;Nicholson;Scotland;0;0;Alloa;05-01-1900;;1;1;#VALUE!;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alloa19;David Pew Alloa;David;Pew;Scotland;0;0;Alloa;;;28;8;1971;;0;0;0;0;2;0;0;0;0;2;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
Alloa2;Stephen Cadden Alloa;Stephen;Cadden;Scotland;0;0;Alloa;;;26;11;1968;;0;0;0;1;2;1;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Alloa20;Paul Simpson Alloa;Paul;Simpson;Scotland;0;0;Alloa;05-01-1900;;1;1;#VALUE!;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alloa21;Craig Valentine Alloa;Craig;Valentine;Scotland;0;0;Alloa;;;16;7;1970;;0;0;2;0;0;0;0;2;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
Alloa22;Mark Wilson Alloa;Mark;Wilson;Scotland;0;0;Alloa;;;31;7;1974;;0;0;0;2;2;0;0;0;2;2;0;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2
Alloa23;Robert Wilson Alloa;Robert;Wilson;Scotland;0;0;Alloa;;;7;7;1979;;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alloa24;Stuart Wilson Alloa;Stuart;Wilson;Scotland;0;0;Alloa;;;21;9;1965;;0;0;0;0;2;1;0;2;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0
Alloa3;Mark Cairns Alloa;Mark;Cairns;Scotland;0;0;Alloa;;;25;9;1969;;2;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Alloa4;Mark Cowan Alloa;Mark;Cowan;Scotland;0;0;Alloa;;;16;1;1971;;0;0;2;0;0;0;0;0;0;2;0;0;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
Alloa5;Peter Dwyer Alloa;Peter;Dwyer;Scotland;0;0;Alloa;;;18;8;1965;;0;0;0;0;0;0;2;0;0;2;76;76;38;17;16;14;7;5;7;19;6;15;20;14;17;6;4;19;10;7;15;17;19;16;16;10;10;0;0;0;0;0;0;2;0;0;2
Alloa6;Lloyd Haddow Alloa;Lloyd;Haddow;Scotland;0;0;Alloa;;;21;1;1971;;0;0;1;0;1;0;0;0;1;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alloa7;Neil Irvine Alloa;Neil;Irvine;Scotland;0;0;Alloa;;;13;10;1965;;0;0;0;1;1;0;0;0;1;1;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alloa8;William Irvine Alloa;William;Irvine;Scotland;0;0;Alloa;;;28;12;1963;;0;0;0;0;0;1;2;0;0;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
Alloa9;Thomas Little Alloa;Thomas;Little;Scotland;0;0;Alloa;;;13;2;1978;;0;0;0;0;1;1;0;2;2;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0
Almeria1;Francisco Cuaresma Almeria;Francisco;Cuaresma;Spain;0;0;Almeria;07-01-1900;;2;2;1967;;0;0;2;0;0;0;0;2;2;0;104;155;100;0;0;0;0;0;0;0;10;0;0;3;0;0;0;16;14;0;0;0;0;0;12;0;0;0;0;2;0;0;0;0;2;2;0
Almeria10;PÇrez Ra£l Almeria;PÇrez;Ra£l;Spain;0;0;Almeria;07-01-1900;;29;1;1973;;0;0;0;0;0;0;2;0;2;2;85;148;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2
Almeria11;Antonio Reyes Almeria;Antonio;Reyes;Spain;0;0;Almeria;07-01-1900;;19;6;1964;;0;0;0;0;2;0;0;0;2;2;80;155;77;17;13;9;16;6;15;13;11;10;18;7;20;9;5;12;2;14;16;20;13;16;18;5;14;0;0;0;0;2;0;0;0;2;2
Almeria12;Ponko Popovic Almeria;Ponko;Popovic;Yugoslavia;0;0;Almeria;07-01-1900;;26;6;1967;;0;2;1;2;0;0;0;0;2;2;103;140;98;0;0;0;0;0;0;0;12;0;0;14;13;0;0;0;0;0;16;0;0;0;11;15;11;0;2;0;2;0;0;0;0;2;2
Almeria2;L¢pez Santos Diego Almeria;L¢pez Santos;Diego;Spain;0;0;Almeria;07-01-1900;;14;3;1974;;0;0;0;0;2;1;0;0;0;2;85;135;85;0;16;0;0;0;10;0;13;0;0;4;0;0;0;0;15;0;0;0;13;0;15;0;0;0;0;0;0;2;0;0;0;0;2
Almeria3;S†nchez Gonzalo Almeria;S†nchez;Gonzalo;Spain;0;0;Almeria;07-01-1900;;6;5;1972;;0;0;2;0;0;0;0;2;0;2;80;120;80;0;13;0;0;0;0;0;10;0;0;7;0;0;0;0;14;0;0;0;0;0;9;0;0;0;0;2;0;0;0;0;2;0;2
Almeria4;JosÇ Francisco Ituarte Almeria;JosÇ Francisco;Ituarte;Spain;0;0;Almeria;12-01-1900;;26;9;1970;;2;0;0;0;0;0;0;0;0;0;86;130;77;0;0;0;0;6;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;11;0;0;2;0;0;0;0;0;0;0;0;0
Almeria5;Garc°a Julio Almeria;Garc°a;Julio;Spain;0;0;Almeria;07-01-1900;;2;5;1965;;0;2;2;1;1;0;0;0;0;2;80;110;80;0;0;0;0;0;0;0;11;0;0;11;0;0;0;0;0;0;0;0;0;0;7;0;12;0;2;2;0;0;0;0;0;0;2
Almeria6;Jon Ander Lambea Almeria;Jon Ander;Lambea;Spain;0;0;Almeria;07-01-1900;;15;8;1973;;0;0;2;0;1;0;0;0;2;0;86;160;77;0;0;0;0;0;0;0;11;0;0;7;0;0;0;15;0;0;0;0;0;0;10;0;12;0;0;2;0;0;0;0;0;2;0
